Programm: Tecan i-control;;;;Tecan i-control , 2.0.10.0;;;;;;;;;
GerÑt: infinite 200;;;;Seriennummer: 705000573;;;;Seriennummer des verbundenen Staplers:;;;;;
Firmware: V_2.02_11/06_InfiniTe (Dec 13 2006/16.18.16);;;;MAI, V_2.02_11/06_InfiniTe (Dec 13 2006/16.18.16);;;;;;;;;
;;;;;;;;;;;;;
Datum:;14.11.2025;;;;;;;;;;;;
Zeit:;13:10:40;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
System;;;;UKSPA-10866511;;;;;;;;;
Anwender;;;;UNI-KIEL\hiwibeit;;;;;;;;;
Platte;;;;Greiner 96 Flat Bottom Black Polystyrene Cat. No.: 655079/655086/655077/655076   [GRE96fb_chimney.pdfx];;;;;;;;;
Platten-ID (Stapler);;;;;;;;;;;;;
;;;;;;;;;;;;;
SchÅtteln (Linear) Dauer:;;;;3;s;;;;;;;;
SchÅtteln (Linear) Amplitude:;;;;1;mm;;;;;;;;
;;;;;;;;;;;;;
Liste der Aktionen in diesem Mess-Script:;;;;;;;;;;;;;
Kinetik;;;;;;;;;;;;;
Fluoreszenz;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Label: Label1;;;;;;;;;;;;;
Kinetik - Messung;;;;;;;;;;;;;
Kinetik - Dauer;;;;00:02:01;;;;;;;;;
Intervallzeit;;;;00:00:10;;;;;;;;;
Modus;;;;Fluoreszenz Messung von oben;;;;;;;;;
ExzitationswellenlÑnge;;;;485;nm;;;;;;;;
EmissionswellenlÑnge;;;;535;nm;;;;;;;;
Exzitationsbandbreite;;;;20;nm;;;;;;;;
Emissionsbandbreite;;;;25;nm;;;;;;;;
VerstÑrkung;;;;103;Optimal (100%);;;;;;;;
Anzahl der Blitze;;;;25;;;;;;;;;
Integrationszeit;;;;20;Ês;;;;;;;;
Verzîgerungszeit;;;;0;Ês;;;;;;;;
Ruhezeit;;;;0;ms;;;;;;;;
Bereich der Platte;;;;A1-C3;;;;;;;;;
Startzeit:;14.11.2025 13:10:58;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Zyklus Nr.;1;2;3;4;5;6;7;8;9;10;11;12;13
Zeit [s];0;10;20;30;40;50;60;70;80;90;100;110;120
Temp. [¯C];--;--;--;--;--;--;--;--;--;--;--;--;--
A1;12736;12927;12908;12847;12933;12879;12840;12993;12902;12870;12803;12933;12883
A2;25101;25449;25932;26140;25921;26249;26261;26169;26479;26235;26737;26881;27027
A3;14545;14666;14545;14506;14627;14623;14670;14668;14498;14555;14629;14762;14690
B1;27265;28169;28584;29133;29896;30102;30476;30361;30846;31141;32027;32022;32197
B2;27170;28162;28501;29242;29944;30209;30439;30852;31039;31510;32252;32464;32627
B3;27691;28596;29088;29928;30368;31009;31408;31692;32010;32817;33188;33443;33737
C1;46050;46425;47019;47520;47995;47825;48066;47752;48187;49243;49318;49121;49361
C2;42203;43056;43511;44073;44822;44378;45141;44918;45352;46066;46695;46789;46579
C3;44741;45283;46144;45800;46064;47155;46657;46978;47477;48398;48800;48723;48692
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Endzeit:;14.11.2025 13:13:05;;;;;;;;;;;;
